ID|Name|Lvl|PID|Region|Lang|Period|Status|Instr|Pioneers|Artists|Works
1|Blues|1||Global|EN|1900-now|A|Various|Unknown|Various Artists|Traditional
2|Jazz|1||Global|EN|1900-now|A|Various|Unknown|Various Artists|Traditional
3|Rock|1||Global|EN|1900-now|A|Various|Unknown|Various Artists|Traditional
4|Pop|1||Global|EN|1900-now|A|Various|Unknown|Various Artists|Traditional
5|Hip-Hop|1||Global|EN|1900-now|A|Various|Unknown|Various Artists|Traditional
6|Electronic|1||Global|EN|1900-now|A|Various|Unknown|Various Artists|Traditional
7|Classical|1||Global|EN|1900-now|A|Various|Unknown|Various Artists|Traditional
8|Folk|1||Global|EN|1900-now|A|Various|Unknown|Various Artists|Traditional
9|Country|1||Global|EN|1900-now|A|Various|Unknown|Various Artists|Traditional
10|Reggae|1||Global|EN|1900-now|A|Various|Unknown|Various Artists|Traditional
11|Latin|1||Global|EN|1900-now|A|Various|Unknown|Various Artists|Traditional
12|World Music|1||Global|EN|1900-now|A|Various|Unknown|Various Artists|Traditional
13|Ambient|1||Global|EN|1900-now|A|Various|Unknown|Various Artists|Traditional
14|Metal|1||Global|EN|1900-now|A|Various|Unknown|Various Artists|Traditional
15|Punk|1||Global|EN|1900-now|A|Various|Unknown|Various Artists|Traditional
16|Funk|1||Global|EN|1900-now|A|Various|Unknown|Various Artists|Traditional
17|Soul|1||Global|EN|1900-now|A|Various|Unknown|Various Artists|Traditional
18|R&B|1||Global|EN|1900-now|A|Various|Unknown|Various Artists|Traditional
19|Dance|1||Global|EN|1900-now|A|Various|Unknown|Various Artists|Traditional
20|Experimental|1||Global|EN|1900-now|A|Various|Unknown|Various Artists|Traditional
21|Schlager (Deutschland)|2||Deutschland|EN|1900-now|A|Various|Unknown|Various Artists|Traditional
22|Krautrock (Deutschland)|2||Deutschland|EN|1900-now|A|Various|Unknown|Various Artists|Traditional
23|Neue Deutsche Welle (Deutschland)|2||Deutschland|EN|1900-now|A|Various|Unknown|Various Artists|Traditional
24|Hamburger Schule (Deutschland)|2||Deutschland|EN|1900-now|A|Various|Unknown|Various Artists|Traditional
25|Austropop (Österreich)|2||Österreich|EN|1900-now|A|Various|Unknown|Various Artists|Traditional
26|Wiener Lied (Österreich)|2||Österreich|EN|1900-now|A|Various|Unknown|Various Artists|Traditional
27|Alpenrock (Österreich)|2||Österreich|EN|1900-now|A|Various|Unknown|Various Artists|Traditional
28|Schwyzerdütsch (Schweiz)|2||Schweiz|EN|1900-now|A|Various|Unknown|Various Artists|Traditional
29|Ländler (Schweiz)|2||Schweiz|EN|1900-now|A|Various|Unknown|Various Artists|Traditional
30|Appenzeller (Schweiz)|2||Schweiz|EN|1900-now|A|Various|Unknown|Various Artists|Traditional
31|Chanson (Frankreich)|2||Frankreich|EN|1900-now|A|Various|Unknown|Various Artists|Traditional
32|Yé-yé (Frankreich)|2||Frankreich|EN|1900-now|A|Various|Unknown|Various Artists|Traditional
33|Variété française (Frankreich)|2||Frankreich|EN|1900-now|A|Various|Unknown|Various Artists|Traditional
34|Zouk (Frankreich)|2||Frankreich|EN|1900-now|A|Various|Unknown|Various Artists|Traditional
35|Canzone (Italien)|2||Italien|EN|1900-now|A|Various|Unknown|Various Artists|Traditional
36|Cantautore (Italien)|2||Italien|EN|1900-now|A|Various|Unknown|Various Artists|Traditional
37|Italo Disco (Italien)|2||Italien|EN|1900-now|A|Various|Unknown|Various Artists|Traditional
38|Flamenco (Spanien)|2||Spanien|EN|1900-now|A|Various|Unknown|Various Artists|Traditional
39|Rumba catalana (Spanien)|2||Spanien|EN|1900-now|A|Various|Unknown|Various Artists|Traditional
40|Copla (Spanien)|2||Spanien|EN|1900-now|A|Various|Unknown|Various Artists|Traditional
41|Fado (Portugal)|2||Portugal|EN|1900-now|A|Various|Unknown|Various Artists|Traditional
42|Pimba (Portugal)|2||Portugal|EN|1900-now|A|Various|Unknown|Various Artists|Traditional
43|Folk português (Portugal)|2||Portugal|EN|1900-now|A|Various|Unknown|Various Artists|Traditional
44|Celtic (Irland)|2||Irland|EN|1900-now|A|Various|Unknown|Various Artists|Traditional
45|Irish Traditional (Irland)|2||Irland|EN|1900-now|A|Various|Unknown|Various Artists|Traditional
46|Irish Rock (Irland)|2||Irland|EN|1900-now|A|Various|Unknown|Various Artists|Traditional
47|Highland (Schottland)|2||Schottland|EN|1900-now|A|Various|Unknown|Various Artists|Traditional
48|Lowland (Schottland)|2||Schottland|EN|1900-now|A|Various|Unknown|Various Artists|Traditional
49|Gaelic Song (Schottland)|2||Schottland|EN|1900-now|A|Various|Unknown|Various Artists|Traditional
50|Hardanger (Norwegen)|2||Norwegen|EN|1900-now|A|Various|Unknown|Various Artists|Traditional
51|Sami joik (Norwegen)|2||Norwegen|EN|1900-now|A|Various|Unknown|Various Artists|Traditional
52|Norwegian Black Metal (Norwegen)|2||Norwegen|EN|1900-now|A|Various|Unknown|Various Artists|Traditional
53|Visa (Schweden)|2||Schweden|EN|1900-now|A|Various|Unknown|Various Artists|Traditional
54|Dansband (Schweden)|2||Schweden|EN|1900-now|A|Various|Unknown|Various Artists|Traditional
55|Swedish Death Metal (Schweden)|2||Schweden|EN|1900-now|A|Various|Unknown|Various Artists|Traditional
56|Humppa (Finnland)|2||Finnland|EN|1900-now|A|Various|Unknown|Various Artists|Traditional
57|Jenkka (Finnland)|2||Finnland|EN|1900-now|A|Various|Unknown|Various Artists|Traditional
58|Finnish Metal (Finnland)|2||Finnland|EN|1900-now|A|Various|Unknown|Various Artists|Traditional
59|Viser (Dänemark)|2||Dänemark|EN|1900-now|A|Various|Unknown|Various Artists|Traditional
60|Danish Folk (Dänemark)|2||Dänemark|EN|1900-now|A|Various|Unknown|Various Artists|Traditional
61|Levenslied (Niederlande)|2||Niederlande|EN|1900-now|A|Various|Unknown|Various Artists|Traditional
62|Nederpop (Niederlande)|2||Niederlande|EN|1900-now|A|Various|Unknown|Various Artists|Traditional
63|Kleinkunst (Belgien)|2||Belgien|EN|1900-now|A|Various|Unknown|Various Artists|Traditional
64|Belgian New Beat (Belgien)|2||Belgien|EN|1900-now|A|Various|Unknown|Various Artists|Traditional
65|Disco Polo (Polen)|2||Polen|EN|1900-now|A|Various|Unknown|Various Artists|Traditional
66|Polish Folk (Polen)|2||Polen|EN|1900-now|A|Various|Unknown|Various Artists|Traditional
67|Moravian Folk (Tschechien)|2||Tschechien|EN|1900-now|A|Various|Unknown|Various Artists|Traditional
68|Czech New Wave (Tschechien)|2||Tschechien|EN|1900-now|A|Various|Unknown|Various Artists|Traditional
69|Magyar nóta (Ungarn)|2||Ungarn|EN|1900-now|A|Various|Unknown|Various Artists|Traditional
70|Csárdás (Ungarn)|2||Ungarn|EN|1900-now|A|Various|Unknown|Various Artists|Traditional
71|Manele (Rumänien)|2||Rumänien|EN|1900-now|A|Various|Unknown|Various Artists|Traditional
72|Romanian Folk (Rumänien)|2||Rumänien|EN|1900-now|A|Various|Unknown|Various Artists|Traditional
73|Chalga (Bulgarien)|2||Bulgarien|EN|1900-now|A|Various|Unknown|Various Artists|Traditional
74|Bulgarian Folk (Bulgarien)|2||Bulgarien|EN|1900-now|A|Various|Unknown|Various Artists|Traditional
75|Rebetiko (Griechenland)|2||Griechenland|EN|1900-now|A|Various|Unknown|Various Artists|Traditional
76|Laïkó (Griechenland)|2||Griechenland|EN|1900-now|A|Various|Unknown|Various Artists|Traditional
77|Bouzouki (Griechenland)|2||Griechenland|EN|1900-now|A|Various|Unknown|Various Artists|Traditional
78|Chanson (Russland)|2||Russland|EN|1900-now|A|Various|Unknown|Various Artists|Traditional
79|Russian Folk (Russland)|2||Russland|EN|1900-now|A|Various|Unknown|Various Artists|Traditional
