ID|Name|Lvl|PID|Region|Lang|Period|Status|Instr|Pioneers|Artists|Works|Source
6|Delta Blues|2|1|USA|EN|1860-now|A|Various|Unknown|Various|Traditional|Blues Subgenre
7|Chicago Blues|2|1|USA|EN|1860-now|A|Various|Unknown|Various|Traditional|Blues Subgenre
8|Texas Blues|2|1|USA|EN|1860-now|A|Various|Unknown|Various|Traditional|Blues Subgenre
9|Electric Blues|2|1|USA|EN|1860-now|A|Various|Unknown|Various|Traditional|Blues Subgenre
10|Acoustic Blues|2|1|USA|EN|1860-now|A|Various|Unknown|Various|Traditional|Blues Subgenre
11|Piedmont Blues|2|1|USA|EN|1860-now|A|Various|Unknown|Various|Traditional|Blues Subgenre
12|Jump Blues|2|1|USA|EN|1860-now|A|Various|Unknown|Various|Traditional|Blues Subgenre
13|Blues Rock|2|1|USA|EN|1860-now|A|Various|Unknown|Various|Traditional|Blues Subgenre
14|Country Blues|2|1|USA|EN|1860-now|A|Various|Unknown|Various|Traditional|Blues Subgenre
15|Urban Blues|2|1|USA|EN|1860-now|A|Various|Unknown|Various|Traditional|Blues Subgenre
16|Gospel Blues|2|1|USA|EN|1860-now|A|Various|Unknown|Various|Traditional|Blues Subgenre
17|Soul Blues|2|1|USA|EN|1860-now|A|Various|Unknown|Various|Traditional|Blues Subgenre
18|British Blues|2|1|USA|EN|1860-now|A|Various|Unknown|Various|Traditional|Blues Subgenre
19|White Blues|2|1|USA|EN|1860-now|A|Various|Unknown|Various|Traditional|Blues Subgenre
20|Hill Country Blues|2|1|USA|EN|1860-now|A|Various|Unknown|Various|Traditional|Blues Subgenre
21|Boogie Blues|2|1|USA|EN|1860-now|A|Various|Unknown|Various|Traditional|Blues Subgenre
22|Swamp Blues|2|1|USA|EN|1860-now|A|Various|Unknown|Various|Traditional|Blues Subgenre
23|Memphis Blues|2|1|USA|EN|1860-now|A|Various|Unknown|Various|Traditional|Blues Subgenre
24|Kansas City Blues|2|1|USA|EN|1860-now|A|Various|Unknown|Various|Traditional|Blues Subgenre
25|St. Louis Blues|2|1|USA|EN|1860-now|A|Various|Unknown|Various|Traditional|Blues Subgenre
26|New Orleans Blues|2|1|USA|EN|1860-now|A|Various|Unknown|Various|Traditional|Blues Subgenre
27|Louisiana Blues|2|1|USA|EN|1860-now|A|Various|Unknown|Various|Traditional|Blues Subgenre
28|Cajun Blues|2|1|USA|EN|1860-now|A|Various|Unknown|Various|Traditional|Blues Subgenre
29|Zydeco Blues|2|1|USA|EN|1860-now|A|Various|Unknown|Various|Traditional|Blues Subgenre
30|Harmonica Blues|2|1|USA|EN|1860-now|A|Various|Unknown|Various|Traditional|Blues Subgenre
31|Slide Guitar Blues|2|1|USA|EN|1860-now|A|Various|Unknown|Various|Traditional|Blues Subgenre
32|Fingerpicking Blues|2|1|USA|EN|1860-now|A|Various|Unknown|Various|Traditional|Blues Subgenre
33|Ragtime Blues|2|1|USA|EN|1860-now|A|Various|Unknown|Various|Traditional|Blues Subgenre
34|British Blues|2|1|UK|EN|1860-now|A|Various|Unknown|Various|Traditional|Blues Regional
35|London Blues|2|1|UK|EN|1860-now|A|Various|Unknown|Various|Traditional|Blues Regional
36|Northern Blues|2|1|UK|EN|1860-now|A|Various|Unknown|Various|Traditional|Blues Regional
37|German Blues|2|1|Deutschland|EN|1860-now|A|Various|Unknown|Various|Traditional|Blues Regional
38|Kraut Blues|2|1|Deutschland|EN|1860-now|A|Various|Unknown|Various|Traditional|Blues Regional
39|French Blues|2|1|Frankreich|EN|1860-now|A|Various|Unknown|Various|Traditional|Blues Regional
