ID|Name|Lvl|PID|Region|Lang|Period|Status|Instr|Pioneers|Artists|Works
51|Grunge|2|3|USA/UK|EN|1900-now|A|Various|Unknown|Various|Traditional
52|Indie Rock|2|3|USA/UK|EN|1900-now|A|Various|Unknown|Various|Traditional
53|Post-Rock|2|3|USA/UK|EN|1900-now|A|Various|Unknown|Various|Traditional
54|Math Rock|2|3|USA/UK|EN|1900-now|A|Various|Unknown|Various|Traditional
55|Arena Rock|2|3|USA/UK|EN|1900-now|A|Various|Unknown|Various|Traditional
56|Southern Rock|2|3|USA/UK|EN|1900-now|A|Various|Unknown|Various|Traditional
57|Garage Rock|2|3|USA/UK|EN|1900-now|A|Various|Unknown|Various|Traditional
58|Surf Rock|2|3|USA/UK|EN|1900-now|A|Various|Unknown|Various|Traditional
59|Folk Rock|2|3|USA/UK|EN|1900-now|A|Various|Unknown|Various|Traditional
60|Country Rock|2|3|USA/Nordamerika|EN|1968-1975|H|E-Gitarre, Pedal Steel Guitar,|Gram Parsons, Chris Hillm|Eagles, Flying Burrito Brother|"""Take It Easy"" (Eagles), "
61|Blues Rock|2|3|USA/UK|EN|1900-now|A|Various|Unknown|Various|Traditional
62|Art Rock|2|3|USA/UK|EN|1900-now|A|Various|Unknown|Various|Traditional
63|Krautrock|2|3|USA/UK|EN|1900-now|A|Various|Unknown|Various|Traditional
64|Space Rock|2|3|USA/UK|EN|1900-now|A|Various|Unknown|Various|Traditional
65|Stoner Rock|2|3|USA/UK|EN|1900-now|A|Various|Unknown|Various|Traditional
66|Old School Hip Hop|2|4|USA|EN|1900-now|A|Various|Unknown|Various|Traditional
67|East Coast Hip Hop|2|4|USA|EN|1900-now|A|Various|Unknown|Various|Traditional
68|West Coast Hip Hop|2|4|USA|EN|1900-now|A|Various|Unknown|Various|Traditional
69|Southern Hip Hop|2|4|USA|EN|1900-now|A|Various|Unknown|Various|Traditional
70|Gangsta Rap|2|4|USA|EN|1900-now|A|Various|Unknown|Various|Traditional
71|Conscious Hip Hop|2|4|USA|EN|1900-now|A|Various|Unknown|Various|Traditional
72|Jazz Rap|2|4|USA|EN|1900-now|A|Various|Unknown|Various|Traditional
73|Alternative Hip Hop|2|4|USA|EN|1900-now|A|Various|Unknown|Various|Traditional
74|Trap|2|4|USA|EN|1900-now|A|Various|Unknown|Various|Traditional
75|Drill|2|4|USA|EN|1900-now|A|Various|Unknown|Various|Traditional
76|Mumble Rap|2|4|USA|EN|1900-now|A|Various|Unknown|Various|Traditional
77|Cloud Rap|2|4|USA|EN|1900-now|A|Various|Unknown|Various|Traditional
78|Boom Bap|2|4|USA|EN|1900-now|A|Various|Unknown|Various|Traditional
79|G-Funk|2|4|USA|EN|1900-now|A|Various|Unknown|Various|Traditional
80|Horrorcore|2|4|USA|EN|1989-heute|A|Synthesizer, Drum Machine, Sam|Geto Boys, Esham|Insane Clown Posse, Gravedigga|"""Mind Playing Tricks on M"
81|Christian Hip Hop|2|4|USA|EN|1900-now|A|Various|Unknown|Various|Traditional
82|Political Hip Hop|2|4|USA|EN|1900-now|A|Various|Unknown|Various|Traditional
83|Comedy Hip Hop|2|4|USA|EN|1900-now|A|Various|Unknown|Various|Traditional
84|Lo-Fi Hip Hop|2|4|USA|EN|1900-now|A|Various|Unknown|Various|Traditional
85|UK Hip Hop|2|4|USA|EN|1900-now|A|Various|Unknown|Various|Traditional
86|French Hip Hop|2|4|USA|EN|1900-now|A|Various|Unknown|Various|Traditional
87|German Hip Hop|2|4|USA|EN|1900-now|A|Various|Unknown|Various|Traditional
88|House|2|5|Germany/UK|EN|1900-now|A|Various|Unknown|Various|Traditional
89|Techno|2|5|Germany/UK|EN|1900-now|A|Various|Unknown|Various|Traditional
90|Trance|2|5|Germany/UK|EN|1900-now|A|Various|Unknown|Various|Traditional
91|Drum and Bass|2|5|Germany/UK|EN|1900-now|A|Various|Unknown|Various|Traditional
92|Dubstep|2|5|Germany/UK|EN|1900-now|A|Various|Unknown|Various|Traditional
93|Ambient|2|5|Germany/UK|EN|1900-now|A|Various|Unknown|Various|Traditional
94|IDM|2|5|Germany/UK|EN|1900-now|A|Various|Unknown|Various|Traditional
95|Breakbeat|2|5|Germany/UK|EN|1900-now|A|Various|Unknown|Various|Traditional
96|Garage|2|5|Germany/UK|EN|1900-now|A|Various|Unknown|Various|Traditional
97|Hardcore|2|5|Germany/UK|EN|1900-now|A|Various|Unknown|Various|Traditional
98|Gabber|2|5|Germany/UK|EN|1900-now|A|Various|Unknown|Various|Traditional
99|Jungle|2|5|Germany/UK|EN|1900-now|A|Various|Unknown|Various|Traditional
100|UK Garage|2|5|UK/England|EN|1994-2001|H|Drum Machine, Synthesizer, Tur|MJ Cole, Todd Edwards|Craig David, The Artful Dodger|"""Re-Rewind"" (Artful Dodge"
101|Grime|2|5|Germany/UK|EN|1900-now|A|Various|Unknown|Various|Traditional
102|Future Bass|2|5|Germany/UK|EN|1900-now|A|Various|Unknown|Various|Traditional
103|Trap Electronic|2|5|Germany/UK|EN|1900-now|A|Various|Unknown|Various|Traditional
104|Synthwave|2|5|Germany/UK|EN|1900-now|A|Various|Unknown|Various|Traditional
105|Vaporwave|2|5|Germany/UK|EN|1900-now|A|Various|Unknown|Various|Traditional
106|Chillstep|2|5|Germany/UK|EN|1900-now|A|Various|Unknown|Various|Traditional
107|Glitch|2|5|Germany/UK|EN|1900-now|A|Various|Unknown|Various|Traditional
108|Baroque|2|6|Europe|EN|1900-now|A|Various|Unknown|Various|Traditional
109|Classical Period|2|6|Europe|EN|1900-now|A|Various|Unknown|Various|Traditional
110|Romantic|2|6|Europe|EN|1900-now|A|Various|Unknown|Various|Traditional
111|Modern Classical|2|6|Europe|EN|1900-now|A|Various|Unknown|Various|Traditional
112|Contemporary Classical|2|6|Europe|EN|1900-now|A|Various|Unknown|Various|Traditional
113|Minimalism|2|6|Europe|EN|1900-now|A|Various|Unknown|Various|Traditional
114|Neoclassical|2|6|Europe|EN|1900-now|A|Various|Unknown|Various|Traditional
115|Impressionist|2|6|Europe|EN|1900-now|A|Various|Unknown|Various|Traditional
116|Expressionist|2|6|Europe|EN|1900-now|A|Various|Unknown|Various|Traditional
117|Serialist|2|6|Europe|EN|1900-now|A|Various|Unknown|Various|Traditional
118|Opera|2|6|Europe|EN|1900-now|A|Various|Unknown|Various|Traditional
119|Chamber Music|2|6|Europe|EN|1900-now|A|Various|Unknown|Various|Traditional
120|Symphonic|2|6|Europa/Nordamer|EN, D|1780-heute|A|Orchester, Piano, Streicher|Ludwig van Beethoven, Ric|Gustav Mahler, Richard Strauss|Beethovens 9. Symphonie, 
121|Choral|2|6|Europe|EN|1900-now|A|Various|Unknown|Various|Traditional
122|Sacred Music|2|6|Europe|EN|1900-now|A|Various|Unknown|Various|Traditional
123|Secular Music|2|6|Europe|EN|1900-now|A|Various|Unknown|Various|Traditional
124|Film Score|2|6|Europe|EN|1900-now|A|Various|Unknown|Various|Traditional
125|Video Game Music|2|6|Europe|EN|1900-now|A|Various|Unknown|Various|Traditional
126|Schlager|2||Deutschland|EN|1900-now|A|Various|Unknown|Various|Traditional
127|Krautrock|2||Deutschland|EN|1900-now|A|Various|Unknown|Various|Traditional
128|Neue Deutsche Welle|2||Deutschland|EN|1900-now|A|Various|Unknown|Various|Traditional
129|Hamburger Schule|2||Deutschland|EN|1900-now|A|Various|Unknown|Various|Traditional
130|Neue Deutsche Härte|2||Deutschland|EN|1900-now|A|Various|Unknown|Various|Traditional
