ID|Name|Lvl|PID|Region|Lang|Period|Status|Instr|Pioneers|Artists|Works
131|Alpenpop|2||Deutschland|EN|1900-now|A|Various|Unknown|Various|Traditional
132|Volkstümliche Musik|2||Deutschland|EN|1900-now|A|Various|Unknown|Various|Traditional
133|Deutschrock|2||Deutschland|EN|1900-now|A|Various|Unknown|Various|Traditional
134|Medieval Rock|2||Deutschland|EN|1900-now|A|Various|Unknown|Various|Traditional
135|Industrial Metal|2||Deutschland|EN|1900-now|A|Various|Unknown|Various|Traditional
136|Dark Wave|2||Deutschland|EN|1900-now|A|Various|Unknown|Various|Traditional
137|EBM|2||Deutschland|EN|1900-now|A|Various|Unknown|Various|Traditional
138|Austropop|2||Österreich|EN|1900-now|A|Various|Unknown|Various|Traditional
139|Wiener Lied|2||Österreich|EN|1900-now|A|Various|Unknown|Various|Traditional
140|Alpenrock|2||Alpenregion (De|DE|1970-heute|A|Akkordeon, E-Gitarre, Synthesi|Hubert von Goisern, Spide|Andreas Gabalier, Seiler und S|"""I sing a Lied für di"" (A"
141|Volksmusik|2||Österreich|EN|1900-now|A|Various|Unknown|Various|Traditional
142|Wiener Walzer|2||Österreich|EN|1900-now|A|Various|Unknown|Various|Traditional
143|Operette|2||Österreich|EN|1900-now|A|Various|Unknown|Various|Traditional
144|Schrammelmusik|2||Österreich|EN|1900-now|A|Various|Unknown|Various|Traditional
145|Schwyzerdütsch|2||Schweiz|EN|1900-now|A|Various|Unknown|Various|Traditional
146|Ländler|2||Schweiz|EN|1900-now|A|Various|Unknown|Various|Traditional
147|Appenzeller|2||Schweiz|EN|1900-now|A|Various|Unknown|Various|Traditional
148|Alpine Folk|2||Schweiz|EN|1900-now|A|Various|Unknown|Various|Traditional
149|Yodel|2||Schweiz|EN|1900-now|A|Various|Unknown|Various|Traditional
150|Swiss German Pop|2||Schweiz|EN|1900-now|A|Various|Unknown|Various|Traditional
151|Chanson|2||Frankreich|EN|1900-now|A|Various|Unknown|Various|Traditional
152|Yé-yé|2||Frankreich|EN|1900-now|A|Various|Unknown|Various|Traditional
153|Variété française|2||Frankreich|EN|1900-now|A|Various|Unknown|Various|Traditional
154|Zouk|2||Frankreich|EN|1900-now|A|Various|Unknown|Various|Traditional
155|French Touch|2||Frankreich|EN|1900-now|A|Various|Unknown|Various|Traditional
156|Nouvelle Chanson|2||Frankreich|EN|1900-now|A|Various|Unknown|Various|Traditional
157|Raï|2||Frankreich|EN|1900-now|A|Various|Unknown|Various|Traditional
158|Celtic Breton|2||Frankreich|EN|1900-now|A|Various|Unknown|Various|Traditional
159|Occitan Music|2||Frankreich|EN|1900-now|A|Various|Unknown|Various|Traditional
160|Canzone Napoletana|2||Italien/Neapel|IT|1800-heute|A|Mandoline, Gitarre, Tamburin|Salvatore Di Giacomo, Ern|Roberto Murolo, Sergio Bruni, |O sole mio, Funiculì Funi
161|Cantautore|2||Italien|EN|1900-now|A|Various|Unknown|Various|Traditional
162|Italo Disco|2||Italien|EN|1900-now|A|Various|Unknown|Various|Traditional
163|Opera|2||Italien|EN|1900-now|A|Various|Unknown|Various|Traditional
164|Tarantella|2||Italien|EN|1900-now|A|Various|Unknown|Various|Traditional
165|Folk Siciliano|2||Italien|EN|1900-now|A|Various|Unknown|Various|Traditional
166|Pizzica|2||Italien|EN|1900-now|A|Various|Unknown|Various|Traditional
167|Eurodance|2||Italien|EN|1900-now|A|Various|Unknown|Various|Traditional
168|Flamenco|2||Spanien|EN|1900-now|A|Various|Unknown|Various|Traditional
169|Rumba Catalana|2||Spanien|EN|1900-now|A|Various|Unknown|Various|Traditional
170|Copla|2||Spanien|EN|1900-now|A|Various|Unknown|Various|Traditional
171|Sevillanas|2||Spanien|EN|1900-now|A|Various|Unknown|Various|Traditional
172|Fandango|2||Spanien|EN|1900-now|A|Various|Unknown|Various|Traditional
173|Sardana|2||Spanien|EN|1900-now|A|Various|Unknown|Various|Traditional
174|Jota|2||Spanien|EN|1900-now|A|Various|Unknown|Various|Traditional
175|Bolero Español|2||Spanien|EN|1900-now|A|Various|Unknown|Various|Traditional
176|Fado|2||Portugal|EN|1900-now|A|Various|Unknown|Various|Traditional
177|Pimba|2||Portugal|EN|1900-now|A|Various|Unknown|Various|Traditional
178|Folk Português|2||Portugal|EN|1900-now|A|Various|Unknown|Various|Traditional
179|Morna|2||Portugal|EN|1900-now|A|Various|Unknown|Various|Traditional
180|Coladeira|2||Cape Verde/Afri|PT|1930s-present|A|cavaquinho, guitar, piano|Travadinha, Frank Cavaqui|Cesária Évora, Bana, Tito Pari|"""Sodade"", ""Mar Azul"""
181|Fado de Coimbra|2||Portugal|EN|1900-now|A|Various|Unknown|Various|Traditional
182|Fado de Lisboa|2||Portugal|EN|1900-now|A|Various|Unknown|Various|Traditional
183|Celtic|2||Irland|EN|1900-now|A|Various|Unknown|Various|Traditional
184|Irish Traditional|2||Irland|EN|1900-now|A|Various|Unknown|Various|Traditional
185|Irish Rock|2||Irland|EN|1900-now|A|Various|Unknown|Various|Traditional
186|Sean-nós|2||Irland|EN|1900-now|A|Various|Unknown|Various|Traditional
187|Céilí|2||Irland|EN|1900-now|A|Various|Unknown|Various|Traditional
188|Irish Folk|2||Irland|EN|1900-now|A|Various|Unknown|Various|Traditional
189|Rebel Songs|2||Irland|EN|1900-now|A|Various|Unknown|Various|Traditional
190|Irish Ballads|2||Irland|EN|1900-now|A|Various|Unknown|Various|Traditional
191|Highland|2||Schottland|EN|1900-now|A|Various|Unknown|Various|Traditional
192|Lowland|2||Schottland|EN|1900-now|A|Various|Unknown|Various|Traditional
193|Gaelic Song|2||Schottland|EN|1900-now|A|Various|Unknown|Various|Traditional
194|Bagpipe Music|2||Schottland|EN|1900-now|A|Various|Unknown|Various|Traditional
195|Scottish Folk|2||Schottland|EN|1900-now|A|Various|Unknown|Various|Traditional
196|Pipe Band|2||Schottland|EN|1900-now|A|Various|Unknown|Various|Traditional
197|Ceilidh Music|2||Schottland|EN|1900-now|A|Various|Unknown|Various|Traditional
198|Hardanger|2||Norwegen|EN|1900-now|A|Various|Unknown|Various|Traditional
199|Sami Joik|2||Norwegen|EN|1900-now|A|Various|Unknown|Various|Traditional
200|Norwegian Black Metal|2||Norwegen/Skandi|Norwe|1990-heute|A|E-Gitarre, Schlagzeug, Bass|Mayhem, Darkthrone|Emperor, Immortal, Satyricon|De Mysteriis Dom Sathanas
201|Folkemusikk|2||Norwegen|EN|1900-now|A|Various|Unknown|Various|Traditional
202|Gammeldans|2||Norwegen|EN|1900-now|A|Various|Unknown|Various|Traditional
203|Bunad Music|2||Norwegen|EN|1900-now|A|Various|Unknown|Various|Traditional
204|Viking Metal|2||Norwegen|EN|1900-now|A|Various|Unknown|Various|Traditional
205|Visa|2||Schweden|EN|1900-now|A|Various|Unknown|Various|Traditional
206|Dansband|2||Schweden|EN|1900-now|A|Various|Unknown|Various|Traditional
207|Swedish Death Metal|2||Schweden|EN|1900-now|A|Various|Unknown|Various|Traditional
208|Polska|2||Schweden|EN|1900-now|A|Various|Unknown|Various|Traditional
209|Swedish Folk|2||Schweden|EN|1900-now|A|Various|Unknown|Various|Traditional
210|Melodic Death Metal|2||Schweden|EN|1900-now|A|Various|Unknown|Various|Traditional
211|Swedish Pop|2||Schweden|EN|1900-now|A|Various|Unknown|Various|Traditional
212|Humppa|2||Finnland|EN|1900-now|A|Various|Unknown|Various|Traditional
213|Jenkka|2||Finnland|EN|1900-now|A|Various|Unknown|Various|Traditional
214|Finnish Metal|2||Finnland|EN|1900-now|A|Various|Unknown|Various|Traditional
215|Karelian Folk|2||Finnland|EN|1900-now|A|Various|Unknown|Various|Traditional
216|Melodic Metal|2||Finnland|EN|1900-now|A|Various|Unknown|Various|Traditional
217|Suomi Rock|2||Finnland|EN|1900-now|A|Various|Unknown|Various|Traditional
218|Finnish Tango|2||Finnland|EN|1900-now|A|Various|Unknown|Various|Traditional
219|Viser|2||Dänemark|EN|1900-now|A|Various|Unknown|Various|Traditional
220|Danish Folk|2||Dänemark, Skand|Dänis|1750-heute|A|Violine, Akkordeon, Harmonika|Evald Tang Kristensen, Th|Harald Haugaard, Helene Blum, |"""Drengene fra Angelsø"", """
221|Schlager Dansk|2||Dänemark|EN|1900-now|A|Various|Unknown|Various|Traditional
