ID|Name|Lvl|PID|Region|Lang|Period|Status|Instr|Pioneers|Artists|Works
251|Son Jarocho|2||Mexiko|EN|1900-now|A|Various|Unknown|Various|Traditional
252|Huapango|2||Mexiko|EN|1900-now|A|Various|Unknown|Various|Traditional
253|Bolero Mexicano|2||Mexiko|EN|1900-now|A|Various|Unknown|Various|Traditional
254|Duranguense|2||Mexiko|EN|1900-now|A|Various|Unknown|Various|Traditional
255|Cumbia|2||Kolumbien|EN|1900-now|A|Various|Unknown|Various|Traditional
256|Vallenato|2||Kolumbien|EN|1900-now|A|Various|Unknown|Various|Traditional
257|Bambuco|2||Kolumbien|EN|1900-now|A|Various|Unknown|Various|Traditional
258|Champeta|2||Kolumbien|EN|1900-now|A|Various|Unknown|Various|Traditional
259|Merengue Colombiano|2||Kolumbien|EN|1900-now|A|Various|Unknown|Various|Traditional
260|Currulao|2||Pazifikküste Ko|ES|1800-heute|A|Marimba, Cununo, Guasá|Teófilo Roberto Potes, Pe|Hugo Candelario, Grupo Bahía, |"""Mi Buenaventura"", ""Adiós"
261|Mapalé|2||Kolumbien|EN|1900-now|A|Various|Unknown|Various|Traditional
262|Porro|2||Kolumbien|EN|1900-now|A|Various|Unknown|Various|Traditional
263|Son Cubano|2||Kuba|EN|1900-now|A|Various|Unknown|Various|Traditional
264|Mambo|2||Kuba|EN|1900-now|A|Various|Unknown|Various|Traditional
265|Salsa|2||Kuba|EN|1900-now|A|Various|Unknown|Various|Traditional
266|Cha-cha-cha|2||Kuba|EN|1900-now|A|Various|Unknown|Various|Traditional
267|Rumba|2||Kuba|EN|1900-now|A|Various|Unknown|Various|Traditional
268|Bolero Cubano|2||Kuba|EN|1900-now|A|Various|Unknown|Various|Traditional
269|Nueva Trova|2||Kuba|EN|1900-now|A|Various|Unknown|Various|Traditional
270|Timba|2||Kuba|EN|1900-now|A|Various|Unknown|Various|Traditional
271|Reggae|2||Jamaika|EN|1900-now|A|Various|Unknown|Various|Traditional
272|Ska|2||Jamaika|EN|1900-now|A|Various|Unknown|Various|Traditional
273|Dancehall|2||Jamaika|EN|1900-now|A|Various|Unknown|Various|Traditional
274|Dub|2||Jamaika|EN|1900-now|A|Various|Unknown|Various|Traditional
275|Rocksteady|2||Jamaika|EN|1900-now|A|Various|Unknown|Various|Traditional
276|Mento|2||Jamaika|EN|1900-now|A|Various|Unknown|Various|Traditional
277|Roots Reggae|2||Jamaika|EN|1900-now|A|Various|Unknown|Various|Traditional
278|Lovers Rock|2||Jamaika|EN|1900-now|A|Various|Unknown|Various|Traditional
279|Country|2||USA|EN|1900-now|A|Various|Unknown|Various|Traditional
280|Bluegrass|2||Südstaaten USA |EN|1930-heute|A|Banjo, Fiddle, Mandoline|Bill Monroe, Earl Scruggs|Flatt & Scruggs, Bill Monroe, |"""Foggy Mountain Breakdown"
281|Gospel|2||USA|EN|1900-now|A|Various|Unknown|Various|Traditional
282|Soul|2||USA|EN|1900-now|A|Various|Unknown|Various|Traditional
283|Funk|2||USA|EN|1900-now|A|Various|Unknown|Various|Traditional
284|R&B|2||USA|EN|1900-now|A|Various|Unknown|Various|Traditional
285|Cajun|2||USA|EN|1900-now|A|Various|Unknown|Various|Traditional
286|Zydeco|2||USA|EN|1900-now|A|Various|Unknown|Various|Traditional
287|Honky-tonk|2||USA|EN|1900-now|A|Various|Unknown|Various|Traditional
288|Western Swing|2||USA|EN|1900-now|A|Various|Unknown|Various|Traditional
289|Americana|2||USA|EN|1900-now|A|Various|Unknown|Various|Traditional
290|Outlaw Country|2||USA|EN|1900-now|A|Various|Unknown|Various|Traditional
291|Southern Gospel|2||USA|EN|1900-now|A|Various|Unknown|Various|Traditional
292|J-Pop|2||Japan|EN|1900-now|A|Various|Unknown|Various|Traditional
293|Visual Kei|2||Japan|EN|1900-now|A|Various|Unknown|Various|Traditional
294|City Pop|2||Japan|EN|1900-now|A|Various|Unknown|Various|Traditional
295|Enka|2||Japan|EN|1900-now|A|Various|Unknown|Various|Traditional
296|Gagaku|2||Japan|EN|1900-now|A|Various|Unknown|Various|Traditional
297|Min'yō|2||Japan|EN|1900-now|A|Various|Unknown|Various|Traditional
298|Shamisen Music|2||Japan|EN|1900-now|A|Various|Unknown|Various|Traditional
299|Taiko|2||Japan|EN|1900-now|A|Various|Unknown|Various|Traditional
300|Japanese Jazz|2||Japan/Asien|JP|1950-heute|A|Piano, Kontrabass, Saxophon|Toshiko Akiyoshi, Sadao W|Ryo Fukui, Hiromi Uehara, Taku|"""Scenery"" (Ryo Fukui), ""T"
301|Noise Music|2||Japan|EN|1900-now|A|Various|Unknown|Various|Traditional
302|J-Rock|2||Japan|EN|1900-now|A|Various|Unknown|Various|Traditional
303|Shibuya-kei|2||Japan|EN|1900-now|A|Various|Unknown|Various|Traditional
304|K-Pop|2||Korea|EN|1900-now|A|Various|Unknown|Various|Traditional
305|Trot|2||Korea|EN|1900-now|A|Various|Unknown|Various|Traditional
306|Gugak|2||Korea|EN|1900-now|A|Various|Unknown|Various|Traditional
307|Pansori|2||Korea|EN|1900-now|A|Various|Unknown|Various|Traditional
