ID|Name|Lvl|PID|Region|Lang|Period|Status|Instr|Pioneers|Artists|Works|Source
159|House|2|4|Chicago|EN|1980s-now|A|Various|Unknown|Various|Traditional|Electronic Category
160|Deep House|3|159|Chicago|EN|1980s-now|A|Various|Unknown|Various|Traditional|Electronic Subgenre
161|Tech House|3|159|Chicago|EN|1980s-now|A|Various|Unknown|Various|Traditional|Electronic Subgenre
162|Progressive House|3|159|Chicago|EN|1980s-now|A|Various|Unknown|Various|Traditional|Electronic Subgenre
163|Tribal House|3|159|Chicago|EN|1980s-now|A|Various|Unknown|Various|Traditional|Electronic Subgenre
164|Acid House|3|159|Chicago|EN|1980s-now|A|Various|Unknown|Various|Traditional|Electronic Subgenre
165|Funky House|3|159|Chicago|EN|1980s-now|A|Various|Unknown|Various|Traditional|Electronic Subgenre
166|Soulful House|3|159|Chicago|EN|1980s-now|A|Various|Unknown|Various|Traditional|Electronic Subgenre
167|Vocal House|3|159|Chicago|EN|1980s-now|A|Various|Unknown|Various|Traditional|Electronic Subgenre
168|Future House|3|159|Chicago|EN|1980s-now|A|Various|Unknown|Various|Traditional|Electronic Subgenre
169|Bass House|3|159|Chicago|EN|1980s-now|A|Various|Unknown|Various|Traditional|Electronic Subgenre
170|Tropical House|3|159|Chicago|EN|1980s-now|A|Various|Unknown|Various|Traditional|Electronic Subgenre
171|French House|3|159|Chicago|EN|1980s-now|A|Various|Unknown|Various|Traditional|Electronic Subgenre
172|Chicago House|3|159|Chicago|EN|1980s-now|A|Various|Unknown|Various|Traditional|Electronic Subgenre
173|Detroit House|3|159|Chicago|EN|1980s-now|A|Various|Unknown|Various|Traditional|Electronic Subgenre
174|UK House|3|159|Chicago|EN|1980s-now|A|Various|Unknown|Various|Traditional|Electronic Subgenre
175|Italian House|3|159|Chicago|EN|1980s-now|A|Various|Unknown|Various|Traditional|Electronic Subgenre
176|Filter House|3|159|Chicago|EN|1980s-now|A|Various|Unknown|Various|Traditional|Electronic Subgenre
177|Electro House|3|159|Chicago|EN|1980s-now|A|Various|Unknown|Various|Traditional|Electronic Subgenre
178|Big Room House|3|159|Chicago|EN|1980s-now|A|Various|Unknown|Various|Traditional|Electronic Subgenre
179|G-House|3|159|Chicago|EN|1980s-now|A|Various|Unknown|Various|Traditional|Electronic Subgenre
180|Techno|2|4|Detroit|EN|1980s-now|A|Various|Unknown|Various|Traditional|Electronic Category
181|Detroit Techno|3|180|Detroit|EN|1980s-now|A|Various|Unknown|Various|Traditional|Electronic Subgenre
182|Minimal Techno|3|180|Detroit|EN|1980s-now|A|Various|Unknown|Various|Traditional|Electronic Subgenre
183|Acid Techno|3|180|Detroit|EN|1980s-now|A|Various|Unknown|Various|Traditional|Electronic Subgenre
184|Industrial Techno|3|180|Detroit|EN|1980s-now|A|Various|Unknown|Various|Traditional|Electronic Subgenre
185|Berlin Techno|3|180|Detroit|EN|1980s-now|A|Various|Unknown|Various|Traditional|Electronic Subgenre
186|Hard Techno|3|180|Detroit|EN|1980s-now|A|Various|Unknown|Various|Traditional|Electronic Subgenre
187|Dub Techno|3|180|Detroit|EN|1980s-now|A|Various|Unknown|Various|Traditional|Electronic Subgenre
188|Ambient Techno|3|180|Detroit|EN|1980s-now|A|Various|Unknown|Various|Traditional|Electronic Subgenre
189|Melodic Techno|3|180|Detroit|EN|1980s-now|A|Various|Unknown|Various|Traditional|Electronic Subgenre
190|Peak Time Techno|3|180|Detroit|EN|1980s-now|A|Various|Unknown|Various|Traditional|Electronic Subgenre
191|Raw Techno|3|180|Detroit|EN|1980s-now|A|Various|Unknown|Various|Traditional|Electronic Subgenre
192|Hypnotic Techno|3|180|Detroit|EN|1980s-now|A|Various|Unknown|Various|Traditional|Electronic Subgenre
193|Trance|2|4|Germany|EN|1990s-now|A|Various|Unknown|Various|Traditional|Electronic Category
194|Uplifting Trance|3|193|Germany|EN|1990s-now|A|Various|Unknown|Various|Traditional|Electronic Subgenre
195|Psy Trance|3|193|Germany|EN|1990s-now|A|Various|Unknown|Various|Traditional|Electronic Subgenre
196|Progressive Trance|3|193|Germany|EN|1990s-now|A|Various|Unknown|Various|Traditional|Electronic Subgenre
197|Hard Trance|3|193|Germany|EN|1990s-now|A|Various|Unknown|Various|Traditional|Electronic Subgenre
198|Vocal Trance|3|193|Germany|EN|1990s-now|A|Various|Unknown|Various|Traditional|Electronic Subgenre
199|Tech Trance|3|193|Germany|EN|1990s-now|A|Various|Unknown|Various|Traditional|Electronic Subgenre
200|Goa Trance|3|193|Germany|EN|1990s-now|A|Various|Unknown|Various|Traditional|Electronic Subgenre
201|Full-On Trance|3|193|Germany|EN|1990s-now|A|Various|Unknown|Various|Traditional|Electronic Subgenre
202|Dark Trance|3|193|Germany|EN|1990s-now|A|Various|Unknown|Various|Traditional|Electronic Subgenre
203|Acid Trance|3|193|Germany|EN|1990s-now|A|Various|Unknown|Various|Traditional|Electronic Subgenre
204|Euro Trance|3|193|Germany|EN|1990s-now|A|Various|Unknown|Various|Traditional|Electronic Subgenre
