ID|Name|Lvl|PID|Region|Lang|Period|Status|Instr|Pioneers|Artists|Works
401|Full-On Trance|3|393|Global|EN|1990-now|A|Various|Unknown|Various|Traditional
402|Drum and Bass|2|5|Global|EN|1980-now|A|Various|Unknown|Various|Traditional
403|Liquid DnB|3|402|Global|EN|1990-now|A|Various|Unknown|Various|Traditional
404|Neurofunk|3|402|Global|EN|1990-now|A|Various|Unknown|Various|Traditional
405|Jump Up|3|402|Global|EN|1990-now|A|Various|Unknown|Various|Traditional
406|Darkstep|3|402|Global|EN|1990-now|A|Various|Unknown|Various|Traditional
407|Jungle|3|402|Global|EN|1990-now|A|Various|Unknown|Various|Traditional
408|Hardstep|3|402|Global|EN|1990-now|A|Various|Unknown|Various|Traditional
409|Techstep|3|402|Global|EN|1990-now|A|Various|Unknown|Various|Traditional
410|Ambient DnB|3|402|Global|EN|1990-now|A|Various|Unknown|Various|Traditional
411|Dubstep|2|5|Global|EN|1980-now|A|Various|Unknown|Various|Traditional
412|Brostep|3|411|Global|EN|1990-now|A|Various|Unknown|Various|Traditional
413|Future Garage|3|411|Global|EN|1990-now|A|Various|Unknown|Various|Traditional
414|Chillstep|3|411|Global|EN|1990-now|A|Various|Unknown|Various|Traditional
415|Riddim|3|411|Global|EN|1990-now|A|Various|Unknown|Various|Traditional
416|Melodic Dubstep|3|411|Global|EN|1990-now|A|Various|Unknown|Various|Traditional
417|Deep Dubstep|3|411|Global|EN|1990-now|A|Various|Unknown|Various|Traditional
418|Tearout|3|411|Global|EN|1990-now|A|Various|Unknown|Various|Traditional
419|Vaporwave|2||Internet|EN|2000-now|E|Various|Unknown|Various|Traditional
420|Synthwave|2||USA, Europa|EN|2000-heute|A|Synthesizer, Drumcomputer, E-B|College, Kavinsky|The Midnight, Carpenter Brut, |"""OutRun"" (Kavinsky), ""Day"
421|Chillwave|2||Internet|EN|2000-now|E|Various|Unknown|Various|Traditional
422|Lo-fi Hip Hop|2||Internet|EN|2000-now|E|Various|Unknown|Various|Traditional
423|Phonk|2||Internet|EN|2000-now|E|Various|Unknown|Various|Traditional
424|Hyperpop|2||Internet|EN|2000-now|E|Various|Unknown|Various|Traditional
425|Breakcore|2||Internet|EN|2000-now|E|Various|Unknown|Various|Traditional
426|Footwork|2||Internet|EN|2000-now|E|Various|Unknown|Various|Traditional
427|Future Bass|2||Internet|EN|2000-now|E|Various|Unknown|Various|Traditional
428|Witch House|2||Internet|EN|2000-now|E|Various|Unknown|Various|Traditional
429|Seapunk|2||Internet|EN|2000-now|E|Various|Unknown|Various|Traditional
430|Cloud Rap|2||Internet|EN|2000-now|E|Various|Unknown|Various|Traditional
