ID|Name|Lvl|PID|Region|Lang|Period|Status|Instr|Pioneers|Artists|Works|Source
206|New York Hip Hop|2|5|East Coast|EN|1980-now|A|Various|Unknown|Various|Traditional|Hip-Hop Regional
208|Hardcore Hip Hop|2|5|East Coast|EN|1980-now|A|Various|Unknown|Various|Traditional|Hip-Hop Regional
211|West Coast Rap|2|5|West Coast|EN|1980-now|A|Various|Unknown|Various|Traditional|Hip-Hop Regional
214|Trap|2|5|South|EN|1980-now|A|Various|Unknown|Various|Traditional|Hip-Hop Regional
216|Chicago Hip Hop|2|5|Midwest|EN|1980-now|A|Various|Unknown|Various|Traditional|Hip-Hop Regional
217|Detroit Hip Hop|2|5|Midwest|EN|1980-now|A|Various|Unknown|Various|Traditional|Hip-Hop Regional
219|UK Hip Hop|2|5|International|EN|1980-now|A|Various|Unknown|Various|Traditional|Hip-Hop Regional
220|French Hip Hop|2|5|International|EN|1980-now|A|Various|Unknown|Various|Traditional|Hip-Hop Regional
221|German Hip Hop|2|5|International|EN|1980-now|A|Various|Unknown|Various|Traditional|Hip-Hop Regional
222|Japanese Hip Hop|2|5|International|EN|1980-now|A|Various|Unknown|Various|Traditional|Hip-Hop Regional
312|Hip-Hop|4|292|USA|EN|1900-now|A|Various|Unknown|Various|Traditional|Regional Music
547|Senegalese Hip-Hop|4|545|Senegal|EN|1900-now|A|Various|Unknown|Various|Traditional|Senegal Music
803|Lo-fi Hip Hop|2|792|Internet|EN|2000-now|E|Various|Unknown|Various|Traditional|Internet Genre
806|Abstract Hip Hop|2|792|Internet|EN|2000-now|E|Various|Unknown|Various|Traditional|Internet Genre
808|Memphis Rap|2|792|Internet|EN|2000-now|E|Various|Unknown|Various|Traditional|Internet Genre
809|Cloud Rap|2|792|Internet|EN|2000-now|E|Various|Unknown|Various|Traditional|Internet Genre
810|Emo Rap|2|792|Internet|EN|2000-now|E|Various|Unknown|Various|Traditional|Internet Genre
811|Trap Soul|2|792|Internet|EN|2000-now|E|Various|Unknown|Various|Traditional|Internet Genre
815|Liquid Trap|2|792|Internet|EN|2000-now|E|Various|Unknown|Various|Traditional|Internet Genre
