ID|Name|Lvl|PID|Region|Lang|Period|Status|Instr|Pioneers|Artists|Works|Source
822|Traditional Metal|2|821|Global|EN|1900-now|A|Various|Unknown|Various|Traditional|Metal Category
823|Heavy Metal|3|822|Global|EN|1970-now|A|Various|Unknown|Various|Traditional|Metal Genre
824|Speed Metal|3|822|Global|EN|1970-now|A|Various|Unknown|Various|Traditional|Metal Genre
825|Thrash Metal|3|822|Global|EN|1970-now|A|Various|Unknown|Various|Traditional|Metal Genre
826|Death Metal|3|822|Global|EN|1970-now|A|Various|Unknown|Various|Traditional|Metal Genre
827|Black Metal|3|822|Global|EN|1970-now|A|Various|Unknown|Various|Traditional|Metal Genre
828|Power Metal|3|822|Global|EN|1970-now|A|Various|Unknown|Various|Traditional|Metal Genre
829|Progressive Metal|3|822|Global|EN|1970-now|A|Various|Unknown|Various|Traditional|Metal Genre
830|Extreme Metal|2|821|Global|EN|1900-now|A|Various|Unknown|Various|Traditional|Metal Category
831|Grindcore|3|830|Global|EN|1970-now|A|Various|Unknown|Various|Traditional|Metal Genre
832|Deathcore|3|830|Global|EN|1970-now|A|Various|Unknown|Various|Traditional|Metal Genre
833|Metalcore|3|830|Global|EN|1970-now|A|Various|Unknown|Various|Traditional|Metal Genre
834|Hardcore|3|830|Global|EN|1970-now|A|Various|Unknown|Various|Traditional|Metal Genre
835|Mathcore|3|830|Global|EN|1970-now|A|Various|Unknown|Various|Traditional|Metal Genre
836|Technical Death Metal|3|830|Global|EN|1970-now|A|Various|Unknown|Various|Traditional|Metal Genre
837|Brutal Death Metal|3|830|Global|EN|1970-now|A|Various|Unknown|Various|Traditional|Metal Genre
838|Slam Death Metal|3|830|Global|EN|1970-now|A|Various|Unknown|Various|Traditional|Metal Genre
839|Atmospheric Metal|2|821|Global|EN|1900-now|A|Various|Unknown|Various|Traditional|Metal Category
840|Doom Metal|3|839|Global|EN|1970-now|A|Various|Unknown|Various|Traditional|Metal Genre
841|Sludge Metal|3|839|Global|EN|1970-now|A|Various|Unknown|Various|Traditional|Metal Genre
842|Stoner Metal|3|839|Global|EN|1970-now|A|Various|Unknown|Various|Traditional|Metal Genre
843|Post-Metal|3|839|Global|EN|1970-now|A|Various|Unknown|Various|Traditional|Metal Genre
844|Atmospheric Black Metal|3|839|Global|EN|1970-now|A|Various|Unknown|Various|Traditional|Metal Genre
845|Ambient Black Metal|3|839|Global|EN|1970-now|A|Various|Unknown|Various|Traditional|Metal Genre
846|Shoegaze Metal|3|839|Global|EN|1970-now|A|Various|Unknown|Various|Traditional|Metal Genre
847|Folk Metal|2|821|Global|EN|1900-now|A|Various|Unknown|Various|Traditional|Metal Category
848|Viking Metal|3|847|Global|EN|1970-now|A|Various|Unknown|Various|Traditional|Metal Genre
849|Pagan Metal|3|847|Global|EN|1970-now|A|Various|Unknown|Various|Traditional|Metal Genre
850|Celtic Metal|3|847|Global|EN|1970-now|A|Various|Unknown|Various|Traditional|Metal Genre
851|Medieval Metal|3|847|Global|EN|1970-now|A|Various|Unknown|Various|Traditional|Metal Genre
852|Oriental Metal|3|847|Global|EN|1970-now|A|Various|Unknown|Various|Traditional|Metal Genre
853|Slavonic Metal|3|847|Global|EN|1970-now|A|Various|Unknown|Various|Traditional|Metal Genre
854|Nordic Metal|3|847|Global|EN|1970-now|A|Various|Unknown|Various|Traditional|Metal Genre
862|Grindcore|3||Global|EN|1990-now|A|Various|Unknown|Various|Traditional|Extra Microgenre
863|Fastcore|3||Global|EN|1990-now|A|Various|Unknown|Various|Traditional|Extra Microgenre
872|Cuddlecore|3||Global|EN|1990-now|A|Various|Unknown|Various|Traditional|Extra Microgenre
874|Sadcore|3||Global|EN|1990-now|A|Various|Unknown|Various|Traditional|Extra Microgenre
875|Breakcore|3||Global|EN|1990-now|A|Various|Unknown|Various|Traditional|Extra Microgenre
876|Speedcore|3||Global|EN|1990-now|A|Various|Unknown|Various|Traditional|Extra Microgenre
877|Happy Hardcore|3||Global|EN|1990-now|A|Various|Unknown|Various|Traditional|Extra Microgenre
878|UK Hardcore|3||Global|EN|1990-now|A|Various|Unknown|Various|Traditional|Extra Microgenre
895|Nightcore|3||Global|EN|1990-now|A|Various|Unknown|Various|Traditional|Extra Microgenre
897|Breakbeat Hardcore|3||Global|EN|1990-now|A|Various|Unknown|Various|Traditional|Extra Microgenre
898|Digital Hardcore|3||Global|EN|1990-now|A|Various|Unknown|Various|Traditional|Extra Microgenre
