ID|Name|Lvl|PID|Region|Lang|Period|Status|Instr|Pioneers|Artists|Works|Source
45|Dixieland|2|2|USA|EN|1890-now|A|Various|Unknown|Various|Traditional|Jazz Subgenre
46|Swing|2|2|USA|EN|1890-now|A|Various|Unknown|Various|Traditional|Jazz Subgenre
47|Bebop|2|2|USA|EN|1890-now|A|Various|Unknown|Various|Traditional|Jazz Subgenre
49|Hard Bop|2|2|USA|EN|1890-now|A|Various|Unknown|Various|Traditional|Jazz Subgenre
51|Fusion|2|2|USA|EN|1890-now|A|Various|Unknown|Various|Traditional|Jazz Subgenre
56|Post-Bop|2|2|USA|EN|1890-now|A|Various|Unknown|Various|Traditional|Jazz Subgenre
63|Third Stream|2|2|USA|EN|1890-now|A|Various|Unknown|Various|Traditional|Jazz Subgenre
65|Big Band|2|2|USA|EN|1890-now|A|Various|Unknown|Various|Traditional|Jazz Subgenre
66|Small Combo|2|2|USA|EN|1890-now|A|Various|Unknown|Various|Traditional|Jazz Subgenre
80|Territory Bands|2|2|USA|EN|1920s|A|Various|Unknown|Various|Traditional|Jazz Era
81|Swing Era|2|2|USA|EN|1930s|A|Various|Unknown|Various|Traditional|Jazz Era
82|Big Band Era|2|2|USA|EN|1930s|A|Various|Unknown|Various|Traditional|Jazz Era
83|Dance Band|2|2|USA|EN|1930s|A|Various|Unknown|Various|Traditional|Jazz Era
84|Bebop Revolution|2|2|USA|EN|1940s|A|Various|Unknown|Various|Traditional|Jazz Era
88|Hard Bop Era|2|2|USA|EN|1950s|A|Various|Unknown|Various|Traditional|Jazz Era
93|Fusion Era|2|2|USA|EN|1970s|A|Various|Unknown|Various|Traditional|Jazz Era
95|ECM Style|2|2|USA|EN|1970s|A|Various|Unknown|Various|Traditional|Jazz Era
97|Wynton Era|2|2|USA|EN|1980s|A|Various|Unknown|Various|Traditional|Jazz Era
292|USA Music|3|291|USA|EN|1900-now|A|Various|Unknown|Various|Traditional|National Music
293|Plains Indian Music|4|292|USA|EN|1900-now|A|Various|Unknown|Various|Traditional|Regional Music
