ID|Name|Lvl|PID|Region|Lang|Period|Status|Instr|Pioneers|Artists|Works|Source
427|Flemish Folk|4|424|Belgien|EN|1900-now|A|Various|Unknown|Various|Traditional|Belgien Music
431|Polish Folk|4|429|Polen|EN|1900-now|A|Various|Unknown|Various|Traditional|Polen Music
436|Moravian Folk|4|435|Tschechien|EN|1900-now|A|Various|Unknown|Various|Traditional|Tschechien Music
441|Slovak Folk|4|440|Slowakei|EN|1900-now|A|Various|Unknown|Various|Traditional|Slowakei Music
447|Hungarian Folk|4|444|Ungarn|EN|1900-now|A|Various|Unknown|Various|Traditional|Ungarn Music
451|Romanian Folk|4|449|Rumänien|EN|1900-now|A|Various|Unknown|Various|Traditional|Rumänien Music
456|Bulgarian Folk|4|454|Bulgarien|EN|1900-now|A|Various|Unknown|Various|Traditional|Bulgarien Music
461|Croatian Folk|4|459|Kroatien|EN|1900-now|A|Various|Unknown|Various|Traditional|Kroatien Music
465|Turbo Folk|4|464|Serbien|EN|1900-now|A|Various|Unknown|Various|Traditional|Serbien Music
466|Serbian Folk|4|464|Serbien|EN|1900-now|A|Various|Unknown|Various|Traditional|Serbien Music
471|Bosnian Folk|4|469|Bosnien|EN|1900-now|A|Various|Unknown|Various|Traditional|Bosnien Music
474|Slovenian Folk|4|473|Slowenien|EN|1900-now|A|Various|Unknown|Various|Traditional|Slowenien Music
477|Estonian Folk|4|476|Estland|EN|1900-now|A|Various|Unknown|Various|Traditional|Estland Music
481|Latvian Folk|4|480|Lettland|EN|1900-now|A|Various|Unknown|Various|Traditional|Lettland Music
485|Lithuanian Folk|4|484|Litauen|EN|1900-now|A|Various|Unknown|Various|Traditional|Litauen Music
489|Icelandic Folk|4|488|Island|EN|1900-now|A|Various|Unknown|Various|Traditional|Island Music
493|Maltese Folk|4|492|Malta|EN|1900-now|A|Various|Unknown|Various|Traditional|Malta Music
497|Cypriot Folk|4|496|Zypern|EN|1900-now|A|Various|Unknown|Various|Traditional|Zypern Music
575|Tunisian Folk|4|573|Tunesien|EN|1900-now|A|Various|Unknown|Various|Traditional|Tunesien Music
582|Sudanese Folk|4|580|Sudan|EN|1900-now|A|Various|Unknown|Various|Traditional|Sudan Music
592|Vietnamese Folk|4|589|Vietnam|EN|1900-now|A|Various|Unknown|Various|Traditional|Vietnam Music
616|Myanmar Traditional|4|615|Myanmar|EN|1900-now|A|Various|Unknown|Various|Traditional|Myanmar Music
619|Khmer Traditional|4|618|Kambodscha|EN|1900-now|A|Various|Unknown|Various|Traditional|Kambodscha Music
622|Lao Traditional|4|621|Laos|EN|1900-now|A|Various|Unknown|Various|Traditional|Laos Music
625|Mongolian Folk|4|624|Mongolei|EN|1900-now|A|Various|Unknown|Various|Traditional|Mongolei Music
629|Nepali Folk|4|628|Nepal|EN|1900-now|A|Various|Unknown|Various|Traditional|Nepal Music
637|Bengali Folk|4|636|Bangladesh|EN|1900-now|A|Various|Unknown|Various|Traditional|Bangladesh Music
646|Afghan Folk|4|645|Afghanistan|EN|1900-now|A|Various|Unknown|Various|Traditional|Afghanistan Music
650|Uzbek Classical|4|649|Usbekistan|EN|1900-now|A|Various|Unknown|Various|Traditional|Usbekistan Music
653|Kazakh Folk|4|652|Kasachstan|EN|1900-now|A|Various|Unknown|Various|Traditional|Kasachstan Music
656|Kyrgyz Folk|4|655|Kirgisistan|EN|1900-now|A|Various|Unknown|Various|Traditional|Kirgisistan Music
659|Canadian Folk|4|658|Kanada|EN|1900-now|A|Various|Unknown|Various|Traditional|Kanada Music
665|Guatemalan Folk|4|663|Guatemala|EN|1900-now|A|Various|Unknown|Various|Traditional|Guatemala Music
667|Honduran Folk|4|666|Honduras|EN|1900-now|A|Various|Unknown|Various|Traditional|Honduras Music
670|Salvadoran Folk|4|669|El Salvador|EN|1900-now|A|Various|Unknown|Various|Traditional|El Salvador Music
673|Nicaraguan Folk|4|672|Nicaragua|EN|1900-now|A|Various|Unknown|Various|Traditional|Nicaragua Music
676|Costa Rican Folk|4|675|Costa Rica|EN|1900-now|A|Various|Unknown|Various|Traditional|Costa Rica Music
679|Panamanian Folk|4|678|Panama|EN|1900-now|A|Various|Unknown|Various|Traditional|Panama Music
687|Guyanese Folk|4|686|Guyana|EN|1900-now|A|Various|Unknown|Various|Traditional|Guyana Music
690|Surinamese Folk|4|689|Suriname|EN|1900-now|A|Various|Unknown|Various|Traditional|Suriname Music
693|Ecuadorian Folk|4|692|Ecuador|EN|1900-now|A|Various|Unknown|Various|Traditional|Ecuador Music
697|Paraguayan Folk|4|696|Paraguay|EN|1900-now|A|Various|Unknown|Various|Traditional|Paraguay Music
701|Uruguayan Folk|4|700|Uruguay|EN|1900-now|A|Various|Unknown|Various|Traditional|Uruguay Music
705|Bolivian Folk|4|704|Bolivia|EN|1900-now|A|Various|Unknown|Various|Traditional|Bolivia Music
712|Chilean Folk|4|709|Chile|EN|1900-now|A|Various|Unknown|Various|Traditional|Chile Music
721|Dominican Folk|4|718|Dominikanische |EN|1900-now|A|Various|Unknown|Various|Traditional|Dominikanische Repub
725|Haitian Folk|4|722|Haiti|EN|1900-now|A|Various|Unknown|Various|Traditional|Haiti Music
739|New Zealand Folk|4|736|Neuseeland|EN|1900-now|A|Various|Unknown|Various|Traditional|Neuseeland Music
741|Fijian Folk|4|740|Fidschi|EN|1900-now|A|Various|Unknown|Various|Traditional|Fidschi Music
744|PNG Folk|4|743|Papua-Neuguinea|EN|1900-now|A|Various|Unknown|Various|Traditional|Papua-Neuguinea Musi
865|Indie Folk|3||Global|EN|1990-now|A|Various|Unknown|Various|Traditional|Extra Microgenre
