ID|Name|Lvl|PID|Region|Lang|Period|Status|Instr|Pioneers|Artists|Works|Source
420|Nederpop|4|418|Niederlande|EN|1900-now|A|Various|Unknown|Various|Traditional|Niederlande Music
430|Disco Polo|4|429|Polen|EN|1900-now|A|Various|Unknown|Various|Traditional|Polen Music
468|Kolo Dance|4|464|Serbien|EN|1900-now|A|Various|Unknown|Various|Traditional|Serbien Music
495|Maltese Pop|4|492|Malta|EN|1900-now|A|Various|Unknown|Various|Traditional|Malta Music
534|Ugandan Pop|4|532|Uganda|EN|1900-now|A|Various|Unknown|Various|Traditional|Uganda Music
586|Thai Pop|4|583|Thailand|EN|1900-now|A|Various|Unknown|Various|Traditional|Thailand Music
590|V-Pop|4|589|Vietnam|EN|1900-now|A|Various|Unknown|Various|Traditional|Vietnam Music
600|Pinoy Pop|4|595|Philippinen|EN|1900-now|A|Various|Unknown|Various|Traditional|Philippinen Music
602|Malaysian Pop|4|601|Malaysia|EN|1900-now|A|Various|Unknown|Various|Traditional|Malaysia Music
607|Singaporean Pop|4|606|Singapur|EN|1900-now|A|Various|Unknown|Various|Traditional|Singapur Music
613|Pop Indonesia|4|609|Indonesien|EN|1900-now|A|Various|Unknown|Various|Traditional|Indonesien Music
617|Myanmar Pop|4|615|Myanmar|EN|1900-now|A|Various|Unknown|Various|Traditional|Myanmar Music
634|Sinhala Pop|4|632|Sri Lanka|EN|1900-now|A|Various|Unknown|Various|Traditional|Sri Lanka Music
643|Pakistani Pop|4|640|Pakistan|EN|1900-now|A|Various|Unknown|Various|Traditional|Pakistan Music
820|Hypnagogic Pop|2|792|Internet|EN|2000-now|E|Various|Unknown|Various|Traditional|Internet Genre
866|Indie Pop|3||Global|EN|1990-now|A|Various|Unknown|Various|Traditional|Extra Microgenre
868|Bedroom Pop|3||Global|EN|1990-now|A|Various|Unknown|Various|Traditional|Extra Microgenre
869|Jangle Pop|3||Global|EN|1990-now|A|Various|Unknown|Various|Traditional|Extra Microgenre
871|Twee Pop|3||Global|EN|1990-now|A|Various|Unknown|Various|Traditional|Extra Microgenre
873|Emo Pop|3||Global|EN|1990-now|A|Various|Unknown|Various|Traditional|Extra Microgenre
892|Hyperpop|3||Global|EN|1990-now|A|Various|Unknown|Various|Traditional|Extra Microgenre
