ID|Name|Lvl|PID|Region|Lang|Period|Status|Instr|Pioneers|Artists|Works|Source
785|Chillout|3|783|Global|EN|1960-now|A|Various|Unknown|Various|Traditional|Fusion Genre
793|Vaporwave|2|792|Internet|EN|2000-now|E|Various|Unknown|Various|Traditional|Internet Genre
794|Synthwave|2|792|Internet|EN|2000-now|E|Various|Unknown|Various|Traditional|Internet Genre
795|Chillwave|2|792|Internet|EN|2000-now|E|Various|Unknown|Various|Traditional|Internet Genre
796|Retrowave|2|792|Internet|EN|2000-now|E|Various|Unknown|Various|Traditional|Internet Genre
797|Darksynth|2|792|Internet|EN|2000-now|E|Various|Unknown|Various|Traditional|Internet Genre
798|Outrun|2|792|Internet|EN|2000-now|E|Various|Unknown|Various|Traditional|Internet Genre
800|Spacewave|2|792|Internet|EN|2000-now|E|Various|Unknown|Various|Traditional|Internet Genre
801|Dreamwave|2|792|Internet|EN|2000-now|E|Various|Unknown|Various|Traditional|Internet Genre
802|Neonwave|2|792|Internet|EN|2000-now|E|Various|Unknown|Various|Traditional|Internet Genre
804|Boom Bap|2|792|Internet|EN|2000-now|E|Various|Unknown|Various|Traditional|Internet Genre
805|Trip Hop|2|792|Internet|EN|2000-now|E|Various|Unknown|Various|Traditional|Internet Genre
807|Phonk|2|792|Internet|EN|2000-now|E|Various|Unknown|Various|Traditional|Internet Genre
812|Future Bass|2|792|Internet|EN|2000-now|E|Various|Unknown|Various|Traditional|Internet Genre
813|Melodic Dubstep|2|792|Internet|EN|2000-now|E|Various|Unknown|Various|Traditional|Internet Genre
814|Chillstep|2|792|Internet|EN|2000-now|E|Various|Unknown|Various|Traditional|Internet Genre
816|Wave|2|792|Internet|EN|2000-now|E|Various|Unknown|Various|Traditional|Internet Genre
817|Hardwave|2|792|Internet|EN|2000-now|E|Various|Unknown|Various|Traditional|Internet Genre
867|Lo-Fi Indie|3||Global|EN|1990-now|A|Various|Unknown|Various|Traditional|Extra Microgenre
