ID|Name|Lvl|PID|Region|Lang|Period|Status|Instr|Pioneers|Artists|Works|Source
207|Boom Bap|2|5|East Coast|EN|1980-now|A|Various|Unknown|Various|Traditional|Hip-Hop Regional
209|G-Funk|2|5|West Coast|EN|1980-now|A|Various|Unknown|Various|Traditional|Hip-Hop Regional
210|Hyphy|2|5|West Coast|EN|1980-now|A|Various|Unknown|Various|Traditional|Hip-Hop Regional
212|Dirty South|2|5|South|EN|1980-now|A|Various|Unknown|Various|Traditional|Hip-Hop Regional
213|Crunk|2|5|South|EN|1980-now|A|Various|Unknown|Various|Traditional|Hip-Hop Regional
215|Miami Bass|2|5|South|EN|1980-now|A|Various|Unknown|Various|Traditional|Hip-Hop Regional
218|Chopped and Screwed|2|5|Midwest|EN|1980-now|A|Various|Unknown|Various|Traditional|Hip-Hop Regional
224|Europa Music|2|223|Europa|EN|1900-now|A|Various|Unknown|Various|Traditional|Continental Music
291|Amerika Music|2|223|Amerika|EN|1900-now|A|Various|Unknown|Various|Traditional|Continental Music
359|Asien Music|2|223|Asien|EN|1900-now|A|Various|Unknown|Various|Traditional|Continental Music
418|Niederlande Music|3|223|Niederlande|EN|1900-now|A|Various|Unknown|Various|Traditional|Extended World
419|Levenslied|4|418|Niederlande|EN|1900-now|A|Various|Unknown|Various|Traditional|Niederlande Music
422|Gabber|4|418|Niederlande|EN|1900-now|A|Various|Unknown|Various|Traditional|Niederlande Music
423|Hardstyle|4|418|Niederlande|EN|1900-now|A|Various|Unknown|Various|Traditional|Niederlande Music
424|Belgien Music|3|223|Belgien|EN|1900-now|A|Various|Unknown|Various|Traditional|Extended World
425|Kleinkunst|4|424|Belgien|EN|1900-now|A|Various|Unknown|Various|Traditional|Belgien Music
426|Belgian New Beat|4|424|Belgien|EN|1900-now|A|Various|Unknown|Various|Traditional|Belgien Music
428|Walloon Music|4|424|Belgien|EN|1900-now|A|Various|Unknown|Various|Traditional|Belgien Music
429|Polen Music|3|223|Polen|EN|1900-now|A|Various|Unknown|Various|Traditional|Extended World
432|Mazurka|4|429|Polen|EN|1900-now|A|Various|Unknown|Various|Traditional|Polen Music
433|Polonez|4|429|Polen|EN|1900-now|A|Various|Unknown|Various|Traditional|Polen Music
434|Krakowiaki|4|429|Polen|EN|1900-now|A|Various|Unknown|Various|Traditional|Polen Music
435|Tschechien Music|3|223|Tschechien|EN|1900-now|A|Various|Unknown|Various|Traditional|Extended World
437|Czech New Wave|4|435|Tschechien|EN|1900-now|A|Various|Unknown|Various|Traditional|Tschechien Music
438|Trampská píseň|4|435|Tschechien|EN|1900-now|A|Various|Unknown|Various|Traditional|Tschechien Music
439|Dechovka|4|435|Tschechien|EN|1900-now|A|Various|Unknown|Various|Traditional|Tschechien Music
440|Slowakei Music|3|223|Slowakei|EN|1900-now|A|Various|Unknown|Various|Traditional|Extended World
442|Ľudová hudba|4|440|Slowakei|EN|1900-now|A|Various|Unknown|Various|Traditional|Slowakei Music
443|Goral Music|4|440|Slowakei|EN|1900-now|A|Various|Unknown|Various|Traditional|Slowakei Music
444|Ungarn Music|3|223|Ungarn|EN|1900-now|A|Various|Unknown|Various|Traditional|Extended World
445|Magyar nóta|4|444|Ungarn|EN|1900-now|A|Various|Unknown|Various|Traditional|Ungarn Music
446|Csárdás|4|444|Ungarn|EN|1900-now|A|Various|Unknown|Various|Traditional|Ungarn Music
448|Gypsy Music|4|444|Ungarn|EN|1900-now|A|Various|Unknown|Various|Traditional|Ungarn Music
449|Rumänien Music|3|223|Rumänien|EN|1900-now|A|Various|Unknown|Various|Traditional|Extended World
450|Manele|4|449|Rumänien|EN|1900-now|A|Various|Unknown|Various|Traditional|Rumänien Music
452|Doina|4|449|Rumänien|EN|1900-now|A|Various|Unknown|Various|Traditional|Rumänien Music
